Aircraft,Traveller_type,Seat_type,Date_flown,Recommended
,Couple Leisure,Economy Class,April 2023,no
A319,Couple Leisure,Economy Class,April 2023,yes
,,,April 2023,no
,Family Leisure,Economy Class,April 2023,no
,,Business Class,April 2023,no
,Solo Leisure,Economy Class,March 2023,yes
,Couple Leisure,Business Class,March 2023,yes
,,Economy Class,March 2023,no
A321,Couple Leisure,Economy Class,March 2023,no
,Couple Leisure,Economy Class,March 2023,no
,Couple Leisure,Economy Class,March 2023,no
,Family Leisure,Economy Class,May 2022,no
,Couple Leisure,Economy Class,March 2023,yes
,,Economy Class,March 2023,no
A321Neo,Couple Leisure,Economy Class,March 2023,no
,Solo Leisure,,March 2023,yes
A380,Couple Leisure,First Class,March 2023,no
,Solo Leisure,Economy Class,March 2023,no
,Couple Leisure,Economy Class,March 2023,no
,Couple Leisure,Economy Class,March 2023,no
A320,Couple Leisure,Economy Class,March 2023,yes
,,Economy Class,March 2023,no
,Solo Leisure,Economy Class,March 2023,no
,Couple Leisure,,March 2023,no
,Solo Leisure,Economy Class,December 2022,no
,Family Leisure,Economy Class,March 2023,no
,,Business Class,December 2022,no
A320,Solo Leisure,Economy Class,March 2023,no
,Family Leisure,Economy Class,December 2022,no
,,Economy Class,March 2023,no
A321,,Economy Class,March 2023,yes
,Couple Leisure,Business Class,March 2023,no
,Solo Leisure,Business Class,April 2022,no
,Solo Leisure,Economy Class,March 2023,no
,Solo Leisure,Economy Class,March 2023,yes
,Couple Leisure,,March 2023,no
A321neo,,Business Class,January 2023,no
,Solo Leisure,Economy Class,February 2023,yes
A380,,Business Class,February 2023,yes
A320,,Business Class,February 2023,yes
,Family Leisure,Economy Class,February 2023,no
,Family Leisure,Economy Class,February 2023,no
A320,Couple Leisure,Economy Class,February 2023,no
A320,Family Leisure,Economy Class,February 2023,no
A320,Solo Leisure,Economy Class,February 2023,no
,Couple Leisure,Economy Class,February 2023,yes
,Couple Leisure,Economy Class,February 2023,no
,Couple Leisure,Business Class,February 2023,yes
A320,Solo Leisure,Economy Class,January 2023,yes
,Family Leisure,Economy Class,February 2023,yes
A320,,Economy Class,January 2023,yes
,Couple Leisure,,January 2023,no
,Solo Leisure,,January 2023,no
,Solo Leisure,Economy Class,January 2023,no
A380,Solo Leisure,First Class,January 2023,yes
,Couple Leisure,Business Class,January 2023,yes
,Couple Leisure,Business Class,January 2023,yes
,Solo Leisure,Business Class,December 2022,no
,Couple Leisure,Economy Class,January 2023,no
,Solo Leisure,Economy Class,January 2023,no
,Family Leisure,Economy Class,December 2022,yes
,Couple Leisure,Business Class,January 2023,yes
,Solo Leisure,Economy Class,January 2023,no
,Solo Leisure,,April 2022,no
,Family Leisure,Economy Class,January 2023,no
A380,Family Leisure,Economy Class,December 2022,no
,Family Leisure,Economy Class,January 2023,no
"A320, A380",Family Leisure,Business Class,January 2023,no
,,Business Class,January 2023,no
A321,,Economy Class,January 2023,yes
A380,,Economy Class,December 2022,no
,Couple Leisure,Business Class,December 2022,no
,Solo Leisure,,December 2022,no
A350,Solo Leisure,Business Class,December 2022,no
,Solo Leisure,Economy Class,December 2022,no
,Family Leisure,Economy Class,December 2022,no
A320,Couple Leisure,Economy Class,December 2022,yes
,Couple Leisure,First Class,December 2022,no
A320,Solo Leisure,Economy Class,December 2022,no
,,Business Class,October 2022,no
,Solo Leisure,Economy Class,December 2022,no
,Couple Leisure,,November 2022,no
,Solo Leisure,,December 2022,no
A321,,Business Class,December 2022,yes
,Couple Leisure,Business Class,December 2022,no
,Solo Leisure,Economy Class,November 2022,yes
A320,,Business Class,December 2022,no
,Couple Leisure,,December 2022,yes
A320,Solo Leisure,Business Class,November 2022,no
,,Business Class,December 2022,no
,Family Leisure,Economy Class,December 2022,no
,,Economy Class,December 2022,no
A320,Solo Leisure,Business Class,June 2022,yes
A380,Solo Leisure,Economy Class,November 2022,no
A320,Solo Leisure,Business Class,November 2022,yes
,Solo Leisure,Economy Class,January 2022,yes
,Solo Leisure,Economy Class,November 2022,no
,Solo Leisure,,November 2022,no
,Solo Leisure,Economy Class,August 2022,no
,Solo Leisure,Business Class,November 2022,no
,Solo Leisure,Economy Class,November 2022,no
,Solo Leisure,Economy Class,November 2022,yes
,Couple Leisure,Business Class,October 2022,no
,Couple Leisure,Economy Class,July 2022,no
,Solo Leisure,Economy Class,October 2022,no
A320,Solo Leisure,Economy Class,October 2022,no
,Solo Leisure,Business Class,October 2022,no
A350-1000,Solo Leisure,Business Class,October 2022,yes
A320,Solo Leisure,Business Class,October 2022,yes
A320,Family Leisure,Economy Class,October 2022,no
,Couple Leisure,Business Class,October 2022,yes
A380,Solo Leisure,Business Class,September 2022,no
A380,Solo Leisure,Economy Class,October 2022,yes
A380,Couple Leisure,Economy Class,October 2022,no
,Solo Leisure,Economy Class,October 2022,no
,Couple Leisure,Economy Class,October 2022,yes
,Couple Leisure,Business Class,October 2022,yes
A380,Solo Leisure,Business Class,October 2022,yes
A320neo,Couple Leisure,Economy Class,October 2022,no
,Solo Leisure,Business Class,October 2022,yes
A321neo,,Economy Class,October 2022,no
A380,Couple Leisure,Economy Class,September 2022,yes
A319,Couple Leisure,Business Class,September 2022,yes
A320,Couple Leisure,Business Class,September 2022,yes
A320-200,Solo Leisure,Business Class,September 2022,no
,Solo Leisure,Business Class,September 2022,yes
,,Economy Class,June 2022,no
,Solo Leisure,,September 2022,yes
,Solo Leisure,Economy Class,September 2022,yes
,Solo Leisure,Economy Class,September 2022,yes
A320,Couple Leisure,Economy Class,September 2022,yes
,,Business Class,September 2022,no
,Couple Leisure,Economy Class,September 2022,no
,Family Leisure,Economy Class,August 2022,no
,Couple Leisure,Business Class,September 2022,yes
,,Economy Class,November 2021,no
,Couple Leisure,Economy Class,August 2022,no
,Couple Leisure,,April 2022,no
,Couple Leisure,Economy Class,August 2022,yes
,Couple Leisure,Economy Class,August 2022,yes
,Solo Leisure,Business Class,June 2022,no
,Solo Leisure,Economy Class,June 2022,no
,,Business Class,June 2022,no
,Couple Leisure,Economy Class,August 2022,yes
,Couple Leisure,Economy Class,July 2022,yes
,Family Leisure,Economy Class,August 2022,no
,Couple Leisure,,May 2022,yes
,Family Leisure,Economy Class,July 2022,no
A320,Solo Leisure,Business Class,June 2022,no
,Solo Leisure,Economy Class,November 2021,no
,Solo Leisure,Economy Class,July 2022,no
A380,Family Leisure,Business Class,July 2022,yes
A320,Solo Leisure,Economy Class,May 2022,no
,Family Leisure,Economy Class,July 2022,no
,Couple Leisure,Economy Class,June 2022,no
A350-1000,Couple Leisure,Economy Class,July 2022,yes
A321,Couple Leisure,Economy Class,May 2022,yes
A321,,Economy Class,July 2022,yes
,,Business Class,July 2022,no
,Couple Leisure,Business Class,July 2022,yes
A350,Family Leisure,Business Class,July 2022,yes
,Family Leisure,Economy Class,July 2022,no
,Solo Leisure,,July 2022,no
,Couple Leisure,Business Class,July 2022,no
"A320, Boeing 787",Solo Leisure,,July 2022,no
,Couple Leisure,,June 2022,no
A350,Couple Leisure,Economy Class,June 2022,no
,Family Leisure,Economy Class,June 2022,no
,Family Leisure,Business Class,June 2022,no
,Couple Leisure,Economy Class,July 2021,no
,,Business Class,June 2022,no
,Family Leisure,Economy Class,June 2022,no
,Couple Leisure,,June 2022,no
,Solo Leisure,Economy Class,April 2022,no
,Family Leisure,Economy Class,June 2022,no
A350,,Economy Class,June 2022,no
A320,Couple Leisure,Economy Class,June 2022,no
,Couple Leisure,Business Class,June 2022,no
A320,,Business Class,June 2022,no
,Couple Leisure,Economy Class,June 2022,no
,Couple Leisure,Economy Class,June 2022,no
A380,Solo Leisure,Economy Class,June 2022,no
,Couple Leisure,Business Class,June 2022,yes
,,Economy Class,June 2022,no
,Couple Leisure,,June 2022,no
,Couple Leisure,Economy Class,June 2022,no
,Family Leisure,Business Class,June 2022,no
A320,Couple Leisure,Business Class,June 2022,yes
,Family Leisure,Economy Class,April 2022,yes
A380,Solo Leisure,Business Class,June 2022,yes
,,Economy Class,May 2022,yes
,Solo Leisure,Economy Class,May 2022,yes
,Couple Leisure,Economy Class,February 2022,no
,Couple Leisure,Business Class,April 2022,yes
,Couple Leisure,Business Class,May 2022,no
,Family Leisure,Economy Class,May 2022,no
,Family Leisure,Business Class,May 2022,no
,Couple Leisure,Business Class,May 2022,no
,Couple Leisure,Economy Class,May 2022,no
,,Economy Class,May 2022,no
,Solo Leisure,Economy Class,March 2022,no
,Solo Leisure,Business Class,March 2022,no
A320,Solo Leisure,Economy Class,May 2022,no
,Solo Leisure,Economy Class,May 2022,no
A320,Couple Leisure,Business Class,May 2022,no
,Solo Leisure,,April 2022,yes
,,Economy Class,May 2022,no
,Solo Leisure,Economy Class,May 2022,no
,Solo Leisure,,May 2022,yes
,Solo Leisure,Economy Class,May 2022,no
,Solo Leisure,Economy Class,April 2022,no
,Solo Leisure,Economy Class,April 2022,yes
A321 Neo,Family Leisure,Business Class,April 2022,yes
A320,Couple Leisure,Business Class,April 2022,yes
,,Business Class,April 2022,no
A320,Solo Leisure,Business Class,March 2022,no
,Couple Leisure,Economy Class,April 2022,no
A320,Couple Leisure,Economy Class,April 2022,no
,Solo Leisure,Business Class,March 2022,yes
,Couple Leisure,Economy Class,April 2022,no
,Couple Leisure,Business Class,April 2022,no
A380,Family Leisure,Economy Class,April 2022,yes
A320neo,,Business Class,April 2022,no
,Couple Leisure,Economy Class,April 2022,yes
,Solo Leisure,Economy Class,March 2022,no
A320 / Boeing 777,Couple Leisure,Business Class,April 2022,no
,,Business Class,April 2022,yes
,Couple Leisure,Economy Class,April 2022,no
,Family Leisure,Business Class,June 2022,no
,Solo Leisure,Business Class,April 2022,yes
,Solo Leisure,Business Class,March 2022,yes
A319,Couple Leisure,Business Class,March 2022,yes
A320,,Business Class,April 2022,no
,Couple Leisure,Business Class,March 2022,yes
,,Economy Class,April 2022,no
A320,,Business Class,April 2022,no
,Solo Leisure,Economy Class,April 2022,no
,Couple Leisure,Business Class,March 2022,yes
,Couple Leisure,Business Class,March 2022,no
,Couple Leisure,Economy Class,March 2022,no
A320,,Business Class,March 2022,no
,Couple Leisure,Economy Class,March 2022,no
,Couple Leisure,Business Class,March 2022,no
,Couple Leisure,Economy Class,March 2022,no
,Couple Leisure,Economy Class,March 2022,no
,Couple Leisure,Economy Class,March 2022,no
,Couple Leisure,,March 2022,no
,Solo Leisure,First Class,March 2022,no
A350,Family Leisure,Economy Class,March 2022,no
,Couple Leisure,Economy Class,February 2022,no
,Couple Leisure,,March 2022,no
,,Economy Class,March 2022,no
,Family Leisure,,March 2022,no
A321-neo,,Business Class,August 2021,no
,Family Leisure,Economy Class,October 2021,no
